title,link,price,likes
"Kingston 480GB A400 SATA 3 2.5"" $54 $53.99",https://slickdeals.net/f/14087540-kingston-480gb-a400-sata-3-2-5-54-53-99?src=catpagev2,$53.99 ,0
"Linksys Velop VLP0203 AC4600 Mesh Wi-Fi System, 3 Pack - $74 (Walmart - YMMV)",https://slickdeals.net/f/14084240-linksys-velop-vlp0203-ac4600-mesh-wi-fi-system-3-pack-74-walmart-ymmv?src=catpagev2,$74 ,137
1TB ADATA Entry SC680 Series USB 3.1 External SSD,https://slickdeals.net/f/14085089-adata-sc680-1tb-usb-3-1-gen-2-type-c-external-ssd-black-99-99-with-f-s?src=catpagev2,$100 ,42
"VersaVu® Slim 360° Rotating Case for iPad mini® 4, 3, 2, iPad mini® (Black) $12.17 + FS",https://slickdeals.net/f/14087183-versavu-slim-360-rotating-case-for-ipad-mini-4-3-2-ipad-mini-black-12-17-fs?src=catpagev2,$12.17 ,0
Logitech,https://slickdeals.net/coupons/logitech/,$69.99 ,8
"Logitech Combo Touch for Ipad (7th Gen), iPad AIR (3rd Gen) and iPad Pro 10.5-INCH - $112.49 with Perks at Work/EPP",https://slickdeals.net/f/14075783-logitech-combo-touch-for-ipad-7th-gen-ipad-air-3rd-gen-and-ipad-pro-10-5-inch-112-49-with-perks-at-work-epp?src=catpagev2,$112.49 ,44
Microsoft Store,https://slickdeals.net/coupons/microsoft-store/,$39.99 ,26
"Lenovo IdeaPad 5 Laptop w/ PremiumCare: i5-1035G1, 15.6"" 1080p IPS, 16GB DDR4, 512GB SSD + Microsoft Office Home & Student 2019 $699 + Free Shipping @ B&H",https://slickdeals.net/f/14075906-lenovo-ideapad-5-laptop-w-premiumcare-i5-1035g1-15-6-1080p-ips-16gb-ddr4-512gb-ssd-microsoft-office-home-student-2019-699-free-shipping-b-h?src=catpagev2,$699 ,28
"TP-Link Wifi 6 AX1500 Smart WiFi Router – 802.11ax Router, 4 Gigabit Port 69.99",https://slickdeals.net/f/14075093-tp-link-wifi-6-ax1500-smart-wifi-router-802-11ax-router-4-gigabit-port-69-99?src=catpagev2,$69.99 ,39
AmpliFi ALIEN Router BACK IN STOCK $379,https://slickdeals.net/f/14081702-amplifi-alien-router-back-in-stock-379?src=catpagev2,$379 ,10
Costco Wholesale,https://slickdeals.net/coupons/costco-wholesale/,$699 ,6
ASUS TUF VG27AQ 27” WQHD 2560 x 1440 IPS 165Hz Freesync/G-SYNC Compatible 1ms ELMB Sync Gaming Monitor $417.99,https://slickdeals.net/f/14081234-asus-tuf-vg27aq-27-wqhd-2560-x-1440-ips-165hz-freesync-g-sync-compatible-1ms-elmb-sync-gaming-monitor-417-99?src=catpagev2,$417.99 ,14
Synology 2 bay NAS DiskStation DS218+ (Diskless) - $272.99 - Amazon,https://slickdeals.net/f/14080664-synology-2-bay-nas-diskstation-ds218-diskless-272-99-amazon?src=catpagev2,$272.99 ,37
Square Reader for contactless and chip for $34.98,https://slickdeals.net/f/14081573-square-reader-for-contactless-and-chip-for-34-98?src=catpagev2,$34.98 ,2
Samsung,https://slickdeals.net/coupons/samsung/,$229 ,0
AMEX 40% off up to $50 on Amazon purchases using a point. YMMV,https://slickdeals.net/f/14099753-amex-40-off-up-to-50-on-amazon-purchases-using-a-point-ymmv?src=catpagev2,N/A,51
"2-Pack Dell S2317HWi 23"" 16:9 IPS Wireless Connect Monitor w/ Wireless Charging @B&H Photo - $269.95",https://slickdeals.net/f/14100740-2-pack-dell-s2317hwi-23-16-9-ips-wireless-connect-monitor-w-wireless-charging-b-h-photo-269-95?src=catpagev2,$269.95 ,11
"1TB Crucial BX500 2.5"" SSD @Newegg $97",https://slickdeals.net/f/14101898-1tb-crucial-bx500-2-5-ssd-newegg-97?src=catpagev2,$97 ,0
128GB Ultra Fit USB 3.1 Flash Drive $16.99,https://slickdeals.net/f/14101901-128gb-ultra-fit-usb-3-1-flash-drive-16-99?src=catpagev2,$16.99 ,1
Samsung - T5 500GB External USB Type C Portable Solid State Drive - Alluring blue $80,https://slickdeals.net/f/14096633-samsung-t5-500gb-external-usb-type-c-portable-solid-state-drive-alluring-blue-80?src=catpagev2,$80 ,2
Corsair CMW32GX4M2C3200C16W Vengeance RGB PRO 32GB (2x16GB) DDR4 3200 (PC4-25600) C16 Desktop Memory White $154.99,https://slickdeals.net/f/14095961-corsair-cmw32gx4m2c3200c16w-vengeance-rgb-pro-32gb-2x16gb-ddr4-3200-pc4-25600-c16-desktop-memory-white-154-99?src=catpagev2,$154.99 ,6
x2 SanDisk 128GB Ultra microSDXC A1 UHS-I/U1 Class 10 Memory Cards $30.65,https://slickdeals.net/f/14094797-x2-sandisk-128gb-ultra-microsdxc-a1-uhs-i-u1-class-10-memory-cards-30-65?src=catpagev2,$30.65 ,24
AMD Ryzen 9 3950X 16-Core 3.5 GHz Socket AM4 105W Desktop Processor @Newegg $699.99,https://slickdeals.net/f/14096567-amd-ryzen-9-3950x-16-core-3-5-ghz-socket-am4-105w-desktop-processor-newegg-699-99?src=catpagev2,$699.99 ,2
Micro Center,https://slickdeals.net/coupons/micro-center/,$159.99 ,13
